dist coredepdie frgdepdie hbdepdie genonedie gentwodie
-7500 0.001 0.0008 0.001 0.0001 0.0001
-5000 0.00215 0.00172 0.001805 0.0003 0.0002
-2500 0.00345 0.00276 0.002715 0.0006 0.0003
-1000 0.0049 0.00392 0.00373 0.0011 0.0005
-750 0.0065 0.0052 0.00485 0.0017 0.0007
-500 0.00825 0.0066 0.006075 0.0024 0.001
-240 0.01015 0.00812 0.007405 0.0033 0.0013
-180 0.01235 0.00988 0.008945 0.0044 0.0018
-120 0.01485 0.01188 0.010695 0.0055 0.0023
-90 0.01765 0.01412 0.012655 0.0066 0.003
-60 0.02075 0.0166 0.014825 0.0077 0.0037
-30 0.02415 0.01932 0.017205 0.0088 0.0047
0 0.02855 0.02284 0.020285 0.0103 0.0057
30 0.03395 0.02716 0.024065 0.0118 0.0069
60 0.04035 0.03228 0.028545 0.0138 0.0081
90 0.04775 0.0382 0.033725 0.0168 0.0095
120 0.05615 0.04492 0.039605 0.0198 0.0109
180 0.06555 0.05244 0.046185 0.0238 0.0126
240 0.07745 0.06196 0.054515 0.0288 0.0143
500 0.09185 0.07348 0.064595 0.0338 0.0163
750 0.10875 0.087 0.076425 0.0418 0.0193
1000 0.12815 0.10252 0.090005 0.0518 0.0243
2500 0.15005 0.12004 0.105335 0.0628 0.0313
5000 0.17445 0.13956 0.122415 0.0778 0.0413
7500 0.20135 0.16108 0.141245 0.0978 0.0563
