dist coredeppref frgdeppref hbdeppref genonepref gentwopref
-7500 1 1 1 1 1
-5000 0.995 1 1 0.999 0.999
-2500 0.985 0.995 1 0.998 0.998
-1000 0.96 0.985 0.995 0.996 0.996
-750 0.91 0.96 0.985 0.993 0.993
-500 0.835 0.91 0.96 0.988 0.989
-240 0.735 0.835 0.91 0.981 0.984
-180 0.635 0.735 0.835 0.971 0.977
-120 0.505 0.635 0.735 0.941 0.967
-90 0.375 0.505 0.635 0.891 0.947
-60 0.255 0.375 0.505 0.821 0.917
-30 0.185 0.255 0.375 0.721 0.867
0 0.135 0.185 0.255 0.621 0.797
30 0.095 0.135 0.185 0.471 0.697
60 0.065 0.095 0.135 0.341 0.567
90 0.045 0.065 0.095 0.241 0.417
120 0.035 0.045 0.065 0.191 0.317
180 0.03 0.035 0.045 0.151 0.267
240 0.0299 0.03 0.035 0.121 0.237
500 0.0298 0.0299 0.03 0.111 0.217
750 0.0297 0.0298 0.0299 0.101 0.207
1000 0.0296 0.0297 0.0298 0.096 0.202
2500 0.0295 0.0296 0.0297 0.091 0.197
5000 0.0294 0.0295 0.0296 0.088 0.194
7500 0.0293 0.0294 0.0295 0.087 0.193
